,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,0,1958-01-01T00:00:00,1959-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output000,62.882,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/restart000,4.807,Ryan Holmes,2020-11-03T13:09:12,13165318,0,[],normal,7035.57,1.928611111111111,7040.3888835616435,1.9299320776255706,,,,1413.1200000001118,1824,1455,361,0.092,649.032374,4528.06,694.03,"[48, 40]",roundrobin,30,27,1350,80,1,cc03806b5ba8c128c5cdda8f848727fca3f97bc5,2020-11-03 11:13:40 +1100,,,0,False,initial
,1,1959-01-01T00:00:00,1960-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output001,64.021,,,Ryan Holmes,2020-11-03T15:07:59,13167285,1,[13167265],normal,7136.91,1.956388888888889,7141.798294520548,1.957728881278539,0.023333333333333206,86520.13806650764,12.114615184930258,1382.4000000003725,1824,1455,361,0.102,728.947606,4531.04,769.85,"[48, 40]",roundrobin,30,27,1350,80,1,467107ea173da2ceb92566bb64a3897f07106185,2020-11-03 13:09:50 +1100,"manifests/input.yaml, manifests/restart.yaml",['2020-11-03 13:09:50: Run 1'],2232,True,continue
,2,1960-01-01T00:00:00,1961-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output002,64.013,,,Ryan Holmes,2020-11-03T17:06:40,13171773,0,[],normal,7171.36,1.9658333333333333,7156.664590163934,1.9618049863387979,0.012222222222222134,87011.02429434069,12.158041388991176,1392.6399999996647,1824,1455,361,0.106,754.803798,4514.4,797.95,"[48, 40]",roundrobin,30,27,1350,80,1,35342426e9f953b0bb7b365d2f7e99c41fd52841,2020-11-03 15:09:00 +1100,manifests/restart.yaml,['2020-11-03 15:09:00: Run 2'],4464,True,continue
,3,1961-01-01T00:00:00,1962-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output003,64.017,,,Ryan Holmes,2020-11-03T19:05:00,13175945,0,[],normal,7164.27,1.9638888888888888,7169.177034246576,1.96523401826484,0.008333333333333526,87182.10253521128,12.16068484830957,1331.2000000001863,1824,1455,361,0.106,755.927525,4512.19,799.24,"[48, 40]",roundrobin,30,27,1350,80,1,75d6af100035a5a7eab64f36fe34db7a8acc0ffb,2020-11-03 17:07:24 +1100,manifests/restart.yaml,['2020-11-03 17:07:23: Run 3'],6696,True,continue
,4,1962-01-01T00:00:00,1963-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output004,64.073,,,Ryan Holmes,2020-11-03T21:03:06,13178185,0,[],normal,7156.16,1.9616666666666667,7161.061479452054,1.9630102739726027,0.006666666666666599,87255.46486028789,12.184711039090876,1341.4400000004098,1824,1455,361,0.105,752.676726,4508.69,795.47,"[48, 40]",roundrobin,30,27,1350,80,1,9fc71dae7314ada90da3fd0781f16cc4682c7809,2020-11-03 19:05:37 +1100,manifests/restart.yaml,['2020-11-03 19:05:37: Run 4'],8928,True,continue
,5,1963-01-01T00:00:00,1964-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output005,64.127,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/restart005,4.834,Ryan Holmes,2020-11-03T23:01:49,13180894,1,[13180877],normal,7157.17,1.9619444444444445,7162.072171232877,1.9632882420091324,0.016666666666666607,86814.47255369929,12.121418282043795,1320.9599999999627,1824,1455,361,0.105,750.72404,4532.43,792.78,"[48, 40]",roundrobin,30,27,1350,80,1,3d34129d55e4b0daa53d767e6018a7eeee239cd1,2020-11-03 21:03:29 +1100,manifests/restart.yaml,['2020-11-03 21:03:29: Run 5'],11160,True,continue
,6,1964-01-01T00:00:00,1965-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output006,64.155,,,Ryan Holmes,2020-11-04T09:53:49,13185031,1,[13185000],normal,7175.41,1.9669444444444444,7160.706290983607,1.962913820582878,8.899722222222223,15847.531288343558,2.213124047316108,1300.480000000447,1824,1455,361,0.105,753.888626,4556.61,797.21,"[48, 40]",roundrobin,30,27,1350,80,1,8d1242f950d85f0f31d0fb3ca1bb88dfb4ed93a9,2020-11-03 23:02:14 +1100,manifests/restart.yaml,['2020-11-03 23:02:14: Run 6'],13392,True,continue
,7,1965-01-01T00:00:00,1966-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output007,64.121,,,Ryan Holmes,2020-11-04T11:52:13,13186761,0,[],normal,7194.67,1.9722222222222223,7199.597856164383,1.9735730593607306,0.0011111111111110628,87502.74324324324,12.153837615849937,1382.4000000003725,1824,1455,361,0.105,755.552067,4532.17,798.17,"[48, 40]",roundrobin,30,27,1350,80,1,7c407d2f17619fb74e6efde49f0cd26f76e8304e,2020-11-04 09:54:08 +1100,manifests/restart.yaml,['2020-11-04 09:54:07: Run 7'],15624,True,continue
,8,1966-01-01T00:00:00,1967-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output008,64.178,,,Ryan Holmes,2020-11-04T13:50:36,13192864,0,[],normal,7189.6,1.9708333333333334,7194.524383561644,1.9721832191780824,0.0022222222222221255,87453.39152470787,12.155548700971131,1331.2000000001863,1824,1455,361,0.105,756.780434,4553.1,800.73,"[48, 40]",roundrobin,30,27,1350,80,1,6fefe678420af3e266edc0b3047bacd017ec1cba,2020-11-04 11:52:32 +1100,manifests/restart.yaml,['2020-11-04 11:52:32: Run 8'],17856,True,continue
,9,1967-01-01T00:00:00,1968-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output009,64.222,,,Ryan Holmes,2020-11-04T15:49:38,13196170,0,[],normal,7206.83,1.9755555555555555,7211.766184931506,1.9769086757990868,0.008333333333333304,87184.2777933352,12.089171439792487,1331.2000000001863,1824,1455,361,0.106,761.57309,4566.53,805.7,"[48, 40]",roundrobin,30,27,1350,80,1,0fa071db84ac4d3d0baabad2f2426df870d2cc72,2020-11-04 13:51:18 +1100,manifests/restart.yaml,['2020-11-04 13:51:18: Run 9'],20088,True,continue
