,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> use_restart_time
,61,1958-01-01T00:00:00,1959-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output061,63.828,,,Ryan Holmes,2020-11-09T17:47:51,13359176,0,[],normal,7155.15,1.9613888888888888,7160.050787671233,1.962732305936073,,,,1361.9199999999255,1824,1455,361,0.105,745.537535,4526.07,789.07,"[48, 40]",roundrobin,30,27,1350,80,1,91edea21d2dfe168b177254f94763de5b61adf41,2020-11-09 15:50:28 +1100,,,136152,False
,62,1959-01-01T00:00:00,1960-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output062,64.017,,,Ryan Holmes,2020-11-10T11:51:04,13378975,0,[],normal,7124.75,1.9530555555555555,7129.629965753425,1.9543932648401827,16.100555555555555,9471.456926130508,1.3284640257104297,1382.4000000003725,1824,1455,361,0.1,713.418737,4516.56,756.44,"[48, 40]",roundrobin,30,27,1350,80,1,b756a0b6a8e7b266c54fff7eab854c7b47eca8ba,2020-11-10 09:54:08 +1100,"ice/cice_in.nml, manifests/restart.yaml",['2020-11-10 09:54:08: Run 62'],138384,True
,63,1960-01-01T00:00:00,1961-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output063,64.058,,,Ryan Holmes,2020-11-10T13:50:31,13382423,0,[],normal,7218.99,1.978888888888889,7204.196987704918,1.9748337887067395,0.011944444444444313,87026.75261615739,12.080007357472606,1351.679999999702,1824,1455,361,0.105,755.231643,4564.4,798.04,"[48, 40]",roundrobin,30,27,1350,80,1,a7a3db5ad31c270979cf9a1f4e29eb903c53b2cf,2020-11-10 11:52:04 +1100,manifests/restart.yaml,['2020-11-10 11:52:04: Run 63'],140616,True
,64,1961-01-01T00:00:00,1962-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output064,64.059,,,Ryan Holmes,2020-11-10T15:49:54,13386544,0,[],normal,7183.52,1.9691666666666667,7188.440219178083,1.9705154109589043,0.020555555555555438,86647.51193633954,12.053729222811384,1341.4400000004098,1824,1455,361,0.105,754.269346,4559.97,797.48,"[48, 40]",roundrobin,30,27,1350,80,1,1f71a5db175e5a9740d2691db4a1eb4d452dae2a,2020-11-10 13:51:56 +1100,manifests/restart.yaml,['2020-11-10 13:51:56: Run 64'],142848,True
,65,1962-01-01T00:00:00,1963-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output065,64.118,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/restart065,4.833,Ryan Holmes,2020-11-10T17:49:56,13391427,0,[],normal,7176.43,1.9672222222222222,7181.345363013699,1.9685696347031962,0.03333333333333344,86093.24520966399,11.988456320882802,1331.2000000001863,1824,1455,361,0.106,758.216569,4535.65,801.5,"[48, 40]",roundrobin,30,27,1350,80,1,7269253acf5d525ffd697ece6838b4d98545e0f0,2020-11-10 15:52:06 +1100,manifests/restart.yaml,['2020-11-10 15:52:05: Run 65'],145080,True
,66,1963-01-01T00:00:00,1964-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output066,64.155,,,Ryan Holmes,2020-11-10T19:49:24,13394825,0,[],normal,7175.41,1.9669444444444444,7180.324664383562,1.9682916666666666,0.02416666666666667,86489.31696428571,12.045321208565564,1341.4400000004098,1824,1455,361,0.105,753.8836,4542.43,796.16,"[48, 40]",roundrobin,30,27,1350,80,1,12cfc63ba0c93f4f4a3a99bd49d93eefe112de7d,2020-11-10 17:51:36 +1100,manifests/restart.yaml,['2020-11-10 17:51:36: Run 66'],147312,True
,67,1964-01-01T00:00:00,1965-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output067,64.196,,,Ryan Holmes,2020-11-10T21:51:30,13399094,0,[],normal,7200.75,1.9738888888888888,7185.994364754099,1.9698440346083788,0.06111111111111134,84922.85012285011,11.817828655610995,1341.4400000004098,1824,1455,361,0.105,753.562194,4559.07,795.53,"[48, 40]",roundrobin,30,27,1350,80,1,85378b8ce2c4eaf3e6926625d90b90ede3ff97c1,2020-11-10 19:53:18 +1100,manifests/restart.yaml,['2020-11-10 19:53:18: Run 67'],149544,True
,68,1965-01-01T00:00:00,1966-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output068,64.158,,,Ryan Holmes,2020-11-10T23:53:04,13402322,0,[],normal,7213.92,1.9775,7218.861041095891,1.9788544520547946,0.04861111111111116,85451.42418426104,11.837244642582663,1341.4400000004098,1824,1455,361,0.105,748.729311,4556.71,792.25,"[48, 40]",roundrobin,30,27,1350,80,1,c13cdb7a66a0961665be82e355aa684eb8b3ed31,2020-11-10 21:55:08 +1100,manifests/restart.yaml,['2020-11-10 21:55:08: Run 68'],151776,True
,69,1966-01-01T00:00:00,1967-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output069,64.191,,,Ryan Holmes,2020-11-11T01:54:00,13404543,0,[],normal,7171.36,1.9658333333333333,7176.271890410959,1.9671797945205478,0.049722222222222445,85392.15876515985,11.899236827866309,1382.4000000003725,1824,1455,361,0.1,712.239834,4514.6,754.46,"[48, 40]",roundrobin,30,27,1350,80,1,737275c5e00a839ba2a0329c88d01455d931ff9d,2020-11-10 23:56:24 +1100,manifests/restart.yaml,['2020-11-10 23:56:24: Run 69'],154008,True
,70,1967-01-01T00:00:00,1968-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output070,64.216,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/restart070,4.839,Ryan Holmes,2020-11-11T03:52:48,13405861,0,[],normal,7141.97,1.9577777777777778,7146.861760273973,1.9591187214611872,0.022222222222222143,86569.33333333334,12.112915603675358,1392.6399999996647,1824,1455,361,0.102,729.164544,4518.85,770.98,"[48, 40]",roundrobin,30,27,1350,80,1,929cfddce1b3cfd7ded4b3bd33e28661d7e7f0ad,2020-11-11 01:55:36 +1100,manifests/restart.yaml,['2020-11-11 01:55:36: Run 70'],156240,True
,71,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output071,64.294,,,Ryan Holmes,2020-11-11T05:51:48,13407516,0,[],normal,7165.28,1.9641666666666666,7150.597049180328,1.9601417349726775,0.019166666666666776,86705.90924369748,12.125688057563888,1331.2000000001863,1824,1455,361,0.105,749.745473,4530.66,788.42,"[48, 40]",roundrobin,30,27,1350,80,1,1cd7ae328ff1d0db84a172c03ed558cff3db3a3c,2020-11-11 03:54:13 +1100,manifests/restart.yaml,['2020-11-11 03:54:13: Run 71'],158472,True
,72,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output072,64.242,,,Ryan Holmes,2020-11-11T07:51:26,13408702,0,[],normal,7170.35,1.9655555555555555,7175.261198630137,1.9669018264840181,0.02833333333333332,86307.91864028979,12.028540320841175,1382.4000000003725,1824,1455,361,0.104,743.561018,4526.49,781.74,"[48, 40]",roundrobin,30,27,1350,80,1,48228c924c2c318b0e325b92ae53964e17c0a029,2020-11-11 05:53:55 +1100,manifests/restart.yaml,['2020-11-11 05:53:55: Run 72'],160704,True
,73,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output073,64.223,,,Ryan Holmes,2020-11-11T09:51:07,13410148,0,[],normal,7153.12,1.9608333333333334,7158.019397260274,1.9621763698630137,0.03388888888888886,86064.55479738198,12.023515168221408,1331.2000000001863,1824,1455,361,0.104,743.423071,4525.99,787.51,"[48, 40]",roundrobin,30,27,1350,80,1,e5eed89f016a3b1d74ef9189ffc79948cae6c7c6,2020-11-11 07:53:40 +1100,manifests/restart.yaml,['2020-11-11 07:53:40: Run 73'],162936,True
,74,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output074,64.188,,,Ryan Holmes,2020-11-11T11:50:40,13414934,0,[],normal,7178.45,1.9677777777777778,7183.366746575342,1.9691255707762558,0.02472222222222209,86465.64617314932,12.03692491607388,1382.4000000003725,1824,1455,361,0.107,766.387895,4526.01,802.43,"[48, 40]",roundrobin,30,27,1350,80,1,397c4c5b318b468aa5af6f8096786637828be178,2020-11-11 09:52:54 +1100,manifests/restart.yaml,['2020-11-11 09:52:54: Run 74'],165168,True
,75,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output075,64.256,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/restart075,4.84,Ryan Holmes,2020-11-11T13:49:42,13421059,0,[],normal,7193.65,1.9719444444444445,7178.908913934426,1.9679035746812388,0.011944444444444313,87024.8333800056,12.122292457435755,1331.2000000001863,1824,1455,361,0.106,759.086577,4534.76,799.99,"[48, 40]",roundrobin,30,27,1350,80,1,e8f129febddee73d526daf0a9124ad195b0aff8f,2020-11-11 11:51:31 +1100,manifests/restart.yaml,['2020-11-11 11:51:31: Run 75'],167400,True
,76,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output076,64.226,,,Ryan Holmes,2020-11-11T15:47:59,13427654,0,[],normal,7176.43,1.9672222222222222,7181.345363013699,1.9685696347031962,0.004166666666666652,87366.99337748345,12.16582533788896,1341.4400000004098,1824,1455,361,0.106,758.021524,4530.68,799.21,"[48, 40]",roundrobin,30,27,1350,80,1,c99998eff2d07a4145781d6338bd59eed41ff114,2020-11-11 13:50:08 +1100,manifests/restart.yaml,['2020-11-11 13:50:08: Run 76'],169632,True
,77,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output077,64.207,,,Ryan Holmes,2020-11-11T17:46:49,13431798,0,[],normal,7173.39,1.966388888888889,7178.303280821918,1.9677357305936074,0.01416666666666666,86925.79186535765,12.10951787138821,1341.4400000004098,1824,1455,361,0.105,754.445152,4540.77,794.69,"[48, 40]",roundrobin,30,27,1350,80,1,265733a7dcc817ae90e66ed353f8bead22b8a77b,2020-11-11 15:49:02 +1100,manifests/restart.yaml,['2020-11-11 15:49:02: Run 77'],171864,True
,78,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output078,64.2,,,Ryan Holmes,2020-11-11T19:46:04,13438092,0,[],normal,7206.83,1.9755555555555555,7211.766184931506,1.9769086757990868,0.011944444444444535,87025.8716981132,12.06720648818979,1341.4400000004098,1824,1455,361,0.106,759.699598,4533.97,802.82,"[48, 40]",roundrobin,30,27,1350,80,1,d2440108334f0409b854d9f206806b081e832dcd,2020-11-11 17:47:42 +1100,manifests/restart.yaml,['2020-11-11 17:47:42: Run 78'],174096,True
,79,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output079,64.249,,,Ryan Holmes,2020-11-11T21:46:32,13442813,0,[],normal,7267.63,1.9922222222222221,7252.7373155737705,1.9881397996357013,0.015555555555555545,86873.71776425015,11.978059315302458,1351.679999999702,1824,1455,361,0.105,760.160759,4535.1,800.61,"[48, 40]",roundrobin,30,27,1350,80,1,829b7978b7602d1802b654162bb4a4ca6eedf176,2020-11-11 19:47:39 +1100,manifests/restart.yaml,['2020-11-11 19:47:39: Run 79'],176328,True
,80,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output080,64.161,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/restart080,4.846,Ryan Holmes,2020-11-11T23:48:38,13445583,0,[],normal,7158.19,1.9622222222222223,7163.092869863013,1.9635662100456621,0.07277777777777783,84420.914004914,11.785539506278724,1392.6399999996647,1824,1455,361,0.105,748.583209,4523.14,790.09,"[48, 40]",roundrobin,30,27,1350,80,1,c35be39dc4d272ca53703e78c748e91b47238433,2020-11-11 21:51:11 +1100,manifests/restart.yaml,['2020-11-11 21:51:11: Run 80'],178560,True
,81,1978-01-01T00:00:00,1979-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output081,64.161,,,Ryan Holmes,2020-11-12T01:46:57,13447851,0,[],normal,7169.33,1.9652777777777777,7174.2405,1.9666238584474884,0.006666666666666821,87255.96731934075,12.162397862092963,1382.4000000003725,1824,1455,361,0.105,755.89274,4521.83,797.23,"[48, 40]",roundrobin,30,27,1350,80,1,75925a37d52641c9914cc724bb3fcc5ed5041caf,2020-11-11 23:49:17 +1100,manifests/restart.yaml,['2020-11-11 23:49:17: Run 81'],180792,True
,82,1979-01-01T00:00:00,1980-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output082,64.116,,,Ryan Holmes,2020-11-12T03:46:38,13449948,0,[],normal,7236.21,1.9836111111111112,7241.166308219178,1.9849697488584477,0.011111111111111072,87064.27294248712,12.023515168221408,1382.4000000003725,1824,1455,361,0.103,746.692939,4517.96,789.71,"[48, 40]",roundrobin,30,27,1350,80,1,b0a7a50892d815f739b04a5260ebef0dc6731826,2020-11-12 01:47:53 +1100,manifests/restart.yaml,['2020-11-12 01:47:52: Run 82'],183024,True
,83,1980-01-01T00:00:00,1981-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output083,64.131,,,Ryan Holmes,2020-11-12T05:44:47,13451919,0,[],normal,7159.2,1.9625,7144.5295081967215,1.9584784836065574,0.006666666666666821,87255.59035124841,12.212923223445642,1341.4400000004098,1824,1455,361,0.103,741.110733,4521.94,785.09,"[48, 40]",roundrobin,30,27,1350,80,1,b266568297797649642e9bf110f37ceae87285b0,2020-11-12 03:47:12 +1100,manifests/restart.yaml,['2020-11-12 03:47:12: Run 83'],185256,True
,84,1981-01-01T00:00:00,1982-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output084,64.158,,,Ryan Holmes,2020-11-12T07:42:47,13453567,0,[],normal,7125.76,1.9533333333333334,7130.640657534247,1.9546712328767124,0.013333333333333197,86958.42711864407,12.19503706539519,1382.4000000003725,1824,1455,361,0.101,713.221919,4527.23,754.99,"[48, 40]",roundrobin,30,27,1350,80,1,e9337f8ee5d1ea96f6845a0322a11060a3be062a,2020-11-12 05:45:48 +1100,manifests/restart.yaml,['2020-11-12 05:45:48: Run 84'],187488,True
,85,1982-01-01T00:00:00,1983-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output085,64.139,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/restart085,4.846,Ryan Holmes,2020-11-12T10:34:49,13456810,1,[13455351],normal,7159.2,1.9625,7164.103561643836,1.9638441780821916,0.9047222222222224,59925.8748304592,8.364741563940896,1351.679999999702,1824,1455,361,0.106,754.395425,4522.96,796.92,"[48, 40]",roundrobin,30,27,1350,80,1,630c729125254199ae1c8e1290601e1ade38e634,2020-11-12 08:37:20 +1100,"manifests/input.yaml, manifests/restart.yaml","['2020-11-12 07:43:17: Run 85', '2020-11-12 08:37:20: Run 85']",189720,True
,86,1983-01-01T00:00:00,1984-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output086,64.057,,,Ryan Holmes,2020-11-12T12:32:23,13460648,0,[],normal,7133.87,1.9555555555555555,7138.756212328767,1.9568949771689497,0.0038888888888890527,87378.27728948114,12.23998616713892,1372.160000000149,1824,1455,361,0.102,728.27254,4525.31,758.34,"[48, 40]",roundrobin,30,27,1350,80,1,3e3e86c6d6e38d3fe7c4bbf24def96f5ee5e1689,2020-11-12 10:35:21 +1100,"manifests/input.yaml, manifests/restart.yaml",['2020-11-12 10:35:21: Run 86'],191952,True
,87,1984-01-01T00:00:00,1985-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output087,64.196,,,Ryan Holmes,2020-11-12T14:30:42,13463020,0,[],normal,7135.89,1.9561111111111111,7121.267274590165,1.9521026867030966,0.015833333333333366,86848.97816593887,12.195719500071299,1361.9199999999255,1824,1455,361,0.103,735.021742,4514.99,776.54,"[48, 40]",roundrobin,30,27,1350,80,1,0abde21fd502edb8acef40b3625adf17cb6e525c,2020-11-12 12:33:36 +1100,manifests/restart.yaml,['2020-11-12 12:33:36: Run 87'],194184,True
,88,1985-01-01T00:00:00,1986-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output088,64.072,,,Ryan Holmes,2020-11-12T16:38:52,13466164,0,[],normal,7144.0,1.9583333333333333,7148.893150684931,1.9596746575342465,0.1777777777777778,80265.48764629388,11.227680419115469,1382.4000000003725,1824,1455,361,0.104,739.237986,4508.27,781.03,"[48, 40]",roundrobin,30,27,1350,80,1,9041459f6547d3bc7c8efe69d6f6a872f17f3a81,2020-11-12 14:41:38 +1100,manifests/restart.yaml,['2020-11-12 14:41:38: Run 88'],196416,True
,89,1986-01-01T00:00:00,1987-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle2,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle2/output089,64.105,,,Ryan Holmes,2020-11-12T18:41:09,13468897,0,[],normal,7129.81,1.9544444444444444,7134.693431506849,1.955783105022831,0.0836111111111113,83960.1450183999,11.767870031756567,1320.9599999999627,1824,1455,361,0.105,744.547239,4499.94,786.66,"[48, 40]",roundrobin,30,27,1350,80,1,026a7fc52151559ddce06f28e1605df72c93576d,2020-11-12 16:44:07 +1100,manifests/restart.yaml,['2020-11-12 16:44:07: Run 89'],198648,True
