,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> use_restart_time
,122,1958-01-01T00:00:00,1959-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output122,63.754,,,Ryan Holmes,2020-11-18T21:54:23,13614974,1,[13586843],normal,7193.65,1.9719444444444445,7198.577157534246,1.973295091324201,,,,1351.679999999702,1824,1455,361,0.104,748.605106,4539.22,792.27,"[48, 40]",roundrobin,30,27,1350,80,1,ed63b78bcbcca8fe085b76481b2577523ea6f633,2020-11-18 19:56:32 +1100,,,1350,272304,False
,123,1959-01-01T00:00:00,1960-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output123,63.963,,,Ryan Holmes,2020-11-19T14:53:42,13637518,1,[13634161],normal,10296.48,2.8225,10303.532383561644,2.824433219178082,14.166111111111112,14545.951895877957,1.411744181935577,1351.679999999702,1824,1455,361,0.074,767.249862,6790.97,789.34,"[48, 40]",roundrobin,30,27,900,80,1,141fa0b16347294a856864ff8b01919deb601d2b,2020-11-19 12:04:48 +1100,"accessom2.nml, config.yaml, ice/cice_in.nml, manifests/restart.yaml","['2020-11-19 09:38:35: Run 123', '2020-11-19 12:04:48: Run 123']",900,274536,True
,124,1960-01-01T00:00:00,1961-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output124,63.993,,,Ryan Holmes,2020-11-19T17:36:50,13644971,0,[],normal,7193.65,1.9719444444444445,7178.908913934426,1.9679035746812388,0.7469444444444444,63499.32161830813,8.845260802105246,1382.4000000003725,1824,1455,361,0.105,751.440689,4552.85,795.05,"[48, 40]",roundrobin,30,27,1350,80,1,1d2c980735228485c14b3f880fc4decd6cc775ca,2020-11-19 15:38:49 +1100,"README.md, accessom2.nml, manifests/restart.yaml",['2020-11-19 15:38:48: Run 124'],1350,276768,True
,125,1961-01-01T00:00:00,1962-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output125,63.995,,,Ryan Holmes,2020-11-19T19:35:43,13649187,0,[],normal,7193.65,1.9719444444444445,7198.577157534246,1.973295091324201,0.009444444444444366,87134.63619795316,12.104424845506513,1382.4000000003725,1824,1455,361,0.105,750.318019,4530.22,793.63,"[48, 40]",roundrobin,30,27,1350,80,1,e4fcaa26e691ab803df838858de133eccc9e8aa4,2020-11-19 17:37:43 +1100,manifests/restart.yaml,['2020-11-19 17:37:42: Run 125'],1350,279000,True
,126,1962-01-01T00:00:00,1963-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output126,64.066,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/restart126,4.834,Ryan Holmes,2020-11-19T21:34:27,13651919,0,[],normal,7164.27,1.9638888888888888,7169.177034246576,1.96523401826484,0.015000000000000124,86888.39528354857,12.119716791549402,1331.2000000001863,1824,1455,361,0.104,743.053118,4523.8,785.43,"[48, 40]",roundrobin,30,27,1350,80,1,11c9e8087f3a5c4866574d87898b6599904810c9,2020-11-19 19:36:49 +1100,manifests/restart.yaml,['2020-11-19 19:36:49: Run 126'],1350,281232,True
,127,1963-01-01T00:00:00,1964-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output127,64.106,,,Ryan Holmes,2020-11-19T23:33:36,13654083,0,[],normal,7160.21,1.9627777777777777,7165.114253424657,1.9641221461187215,0.023055555555555607,86535.47964750315,12.07733423178038,1341.4400000004098,1824,1455,361,0.105,750.58116,4523.3,794.18,"[48, 40]",roundrobin,30,27,1350,80,1,bfbf6c72ac2d48d55e76a1ceb32d8e521d15959e,2020-11-19 21:36:03 +1100,manifests/restart.yaml,['2020-11-19 21:36:03: Run 127'],1350,283464,True
,128,1964-01-01T00:00:00,1965-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output128,64.151,,,Ryan Holmes,2020-11-20T01:34:22,13655576,0,[],normal,7262.56,1.9908333333333332,7247.677704918034,1.986753756830601,0.021944444444444766,86597.45845983991,11.94830426870082,1351.679999999702,1824,1455,361,0.102,738.211641,4567.56,780.47,"[48, 40]",roundrobin,30,27,1350,80,1,b71c90d002bdee5c50f8a777c6a63e0033d3b6a1,2020-11-19 23:35:11 +1100,manifests/restart.yaml,['2020-11-19 23:35:11: Run 128'],1350,285696,True
,129,1965-01-01T00:00:00,1966-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output129,64.105,,,Ryan Holmes,2020-11-20T03:33:41,13657193,0,[],normal,7236.21,1.9836111111111112,7241.166308219178,1.9849697488584477,0.004999999999999893,87331.82623271407,12.060464090375465,1382.4000000003725,1824,1455,361,0.106,760.059339,4554.24,803.25,"[48, 40]",roundrobin,30,27,1350,80,1,27340359a6bd01b2a432069dcf0d1953a0c9210a,2020-11-20 01:35:03 +1100,manifests/restart.yaml,['2020-11-20 01:35:03: Run 129'],1350,287928,True
,130,1966-01-01T00:00:00,1967-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output130,64.152,,,Ryan Holmes,2020-11-20T10:24:29,13660761,1,[13658500],normal,7190.61,1.971111111111111,7195.5350753424655,1.9724611872146118,4.875555555555556,25205.643622200583,3.502956119076515,1382.4000000003725,1824,1455,361,0.103,737.649149,4557.84,780.3,"[48, 40]",roundrobin,30,27,1350,80,1,6b946be23d69560f2039dafb6abb465dd099a06d,2020-11-20 08:26:32 +1100,"README.md, manifests/restart.yaml","['2020-11-20 03:35:36: Run 130', '2020-11-20 08:26:32: Run 130']",1350,290160,True
,131,1967-01-01T00:00:00,1968-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output131,64.164,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/restart131,4.84,Ryan Holmes,2020-11-20T13:04:14,13662935,0,[],normal,8138.08,2.2308333333333334,8143.6540273972605,2.2323613013698633,0.43166666666666664,73357.34084507042,9.007914702451533,1331.2000000001863,1824,1455,361,0.332,3197.643227,4554.4,3239.57,"[48, 40]",roundrobin,30,27,1350,80,1,fe97dc3197ece5098e1ce00973a17075e7ed056e,2020-11-20 10:25:07 +1100,manifests/restart.yaml,['2020-11-20 10:25:07: Run 131'],1350,292392,True
