,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
,365,2018-01-01T00:00:00,2019-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_cycle6_online_mlt,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/output365,106.983,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/restart365,4.849,Ryan Holmes,2025-07-30T11:07:38,146174011,6,"[146110027, 146110775, 146111253, 146172519, 146172704, 146173880]",normal,7215.95,1.9780555555555555,7220.892431506849,1.9794103881278537,,,,1525.7599999997765,1824,1455,361,0.098,704.14845,4628.27,747.45,"[48, 40]",roundrobin,30,27,1350,80,1,fb6429245e28b50ec53ddbc9e86ee78022dc1ff1,2025-07-30 09:09:11 +1000,,
,366,2019-01-01T00:00:00,2020-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_cycle6_online_mlt,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/output366,106.989,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/restart366,4.847,Ryan Holmes,2025-07-30T13:29:35,146181017,0,[],normal,7340.59,2.0122222222222224,7345.617801369863,2.013600456621005,0.3536111111111109,74466.00634026066,10.137473573206288,1525.7599999997765,1824,1455,361,0.095,694.560637,4676.83,737.24,"[48, 40]",roundrobin,30,27,1350,80,1,70297c88cae7960f286a79633674b5a907ae84a7,2025-07-30 11:30:14 +1000,"atmosphere/forcing.json, config.yaml, manifests/input.yaml, manifests/restart.yaml",['2025-07-30 11:30:14: Run 366']
,367,2020-01-01T00:00:00,2021-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_cycle6_online_mlt,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/output367,107.106,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/restart367,4.849,Ryan Holmes,2025-07-30T15:54:16,146191688,0,[],normal,7259.52,1.99,7244.64393442623,1.985922131147541,0.4213888888888888,72252.33590600162,9.973207318397208,1495.0400000000373,1824,1455,361,0.095,689.872544,4695.31,731.52,"[48, 40]",roundrobin,30,27,1350,80,1,25fe721e0df6441d8cfc3aec13bd96b63f5959c4,2025-07-30 13:55:02 +1000,"atmosphere/forcing.json, config.yaml, manifests/input.yaml, manifests/restart.yaml",['2025-07-30 13:55:02: Run 367']
,368,2021-01-01T00:00:00,2022-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_cycle6_online_mlt,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/output368,107.137,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/restart368,4.851,Ryan Holmes,2025-07-30T17:53:41,146199276,0,[],normal,7214.93,1.9777777777777779,7219.8717328767125,1.9791324200913243,0.012499999999999956,87002.08681088625,12.050364608932021,1484.7999999998137,1824,1455,361,0.097,697.575574,4652.24,741.45,"[48, 40]",roundrobin,30,27,1350,80,1,c4fb783e48a448e7952907a6ddf15a65dfecbd9e,2025-07-30 15:55:12 +1000,manifests/restart.yaml,['2025-07-30 15:55:12: Run 368']
,369,2022-01-01T00:00:00,2023-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_cycle6_online_mlt,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/output369,107.036,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/restart369,4.847,Ryan Holmes,2025-07-30T19:53:27,146205971,0,[],normal,7222.03,1.9797222222222222,7226.976595890411,1.9810781963470319,0.01638888888888901,86833.20233787921,12.015149237823259,1484.7999999998137,1824,1455,361,0.098,709.016045,4634.58,752.16,"[48, 40]",roundrobin,30,27,1350,80,1,e8fcc2563e681710bfe272e009213f779f069b0c,2025-07-30 17:54:53 +1000,manifests/restart.yaml,['2025-07-30 17:54:53: Run 369']
,370,2023-01-01T00:00:00,2024-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_cycle6_online_mlt,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/output370,424.675,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_cycle6_online_mlt/restart370,4.848,Ryan Holmes,2025-08-03T15:36:55,146381941,4,"[146212534, 146228528, 146228590, 146381743]",normal,8701.49,2.3852777777777776,8707.449924657534,2.386911529680365,89.33916666666667,2276.7732338404885,0.2614741690782717,1730.5599999995902,1824,1455,361,0.082,712.442358,6070.44,760.63,"[48, 40]",roundrobin,30,27,1350,80,1,2b8e2dbb1ae3cd01006f202e401ca67b3acff658,2025-08-03 13:13:56 +1000,"config.yaml, manifests/input.yaml, manifests/restart.yaml, ocean/diag_table, run_summary_home_561_rmh561_access-om2_025deg_jra55_iaf_cycle6_online_mlt.csv, sync_data.sh","['2025-07-30 19:54:04: Run 370', 'update run summary', '2025-07-31 08:20:51: Run 371', '2025-07-31 08:26:19: Run 370', 'update run summary', '2025-08-03 13:13:56: Run 370']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
Total,2205,,,,2191.0,,,959.9259999999999,,29.091,,,877333904,10,,,44954.51,12.323055555555555,44965.452420727604,12.32605512201512,90.14305555555556,322830.4046288682,44.43766890743704,9246.719999998808,10944,8730,2166,0.565,4207.615608,29357.670000000002,4470.45,,,180,162,8100,480,6,,,,
Mean,367.5,,,0.25,365.1666666666667,,,159.98766666666666,,4.8485000000000005,,,146222317.33333334,1.6666666666666667,,,7492.418333333334,2.0538425925925927,7494.242070121268,2.054342520335853,18.02861111111111,64566.08092577364,8.88753378148741,1541.1199999998014,1824.0,1455.0,361.0,0.09416666666666666,701.269268,4892.945000000001,745.0749999999999,44.0,,30.0,27.0,1350.0,80.0,1.0,,,,
