,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
,43,2023-01-01T00:00:00,2024-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55v150_iaf,/scratch/v45/rmh561/access-om2/archive/025deg_jra55v150_iaf/output043,27.953,/scratch/v45/rmh561/access-om2/archive/025deg_jra55v150_iaf/restart043,5.723,Ryan Holmes,2024-04-12T11:51:56,113606156,1,[110687092],normal,5408.16,1.4825,5411.864219178082,1.483515410958904,,,,1525.7599999997765,1824,1455,361,0.093,494.960995,3049.89,543.06,"[48, 40]",roundrobin,30,27,1350,80,1,9c11365f02914bb23170c4404a3594ec0ecfc191,2024-04-12 10:23:09 +1000,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
Total,43,,,,365.0,,,27.953,,5.723,,,113606156,1,,,5408.16,1.4825,5411.864219178082,1.483515410958904,0,0,0,1525.7599999997765,1824,1455,361,0.093,494.960995,3049.89,543.06,,,30,27,1350,80,1,,,,0
Mean,43.0,,,0.25,365.0,,,27.953,,5.723,,,113606156.0,1.0,110687092.0,,5408.16,1.4825,5411.864219178082,1.483515410958904,nan,nan,nan,1525.7599999997765,1824.0,1455.0,361.0,0.093,494.960995,3049.89,543.06,44.0,,30.0,27.0,1350.0,80.0,1.0,,,,nan
Median,43.0,,,0.0,365.0,,,27.953,,5.723,,,113606156.0,1.0,110687092.0,,5408.16,1.4825,5411.864219178082,1.483515410958904,nan,nan,nan,1525.7599999997765,1824.0,1455.0,361.0,0.093,494.960995,3049.89,543.06,44.0,,30.0,27.0,1350.0,80.0,1.0,,,,nan
Min,43,2023-01-01T00:00:00,2024-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55v150_iaf,/scratch/v45/rmh561/access-om2/archive/025deg_jra55v150_iaf/output043,27.953,/scratch/v45/rmh561/access-om2/archive/025deg_jra55v150_iaf/restart043,5.723,Ryan Holmes,2024-04-12T11:51:56,113606156,1,[110687092],normal,5408.16,1.4825,5411.864219178082,1.483515410958904,,,,1525.7599999997765,1824,1455,361,0.093,494.960995,3049.89,543.06,"[48, 40]",roundrobin,30,27,1350,80,1,9c11365f02914bb23170c4404a3594ec0ecfc191,2024-04-12 10:23:09 +1000,,
Max,43,2023-01-01T00:00:00,2024-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55v150_iaf,/scratch/v45/rmh561/access-om2/archive/025deg_jra55v150_iaf/output043,27.953,/scratch/v45/rmh561/access-om2/archive/025deg_jra55v150_iaf/restart043,5.723,Ryan Holmes,2024-04-12T11:51:56,113606156,1,[110687092],normal,5408.16,1.4825,5411.864219178082,1.483515410958904,,,,1525.7599999997765,1824,1455,361,0.093,494.960995,3049.89,543.06,"[48, 40]",roundrobin,30,27,1350,80,1,9c11365f02914bb23170c4404a3594ec0ecfc191,2024-04-12 10:23:09 +1000,,
Std dev,0.0,,,0.4330127018922193,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,,,,nan
SU correlation,nan,,,,nan,,,nan,,nan,,,nan,nan,nan,,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,,,,
SU slope,62.8855813953488,,,,7.40843835616438,,,96.73666511644541,,472.4934474925736,,,2.3802231280495034e-05,2704.0799999999986,,,0.4999999999999997,1823.999999999999,0.49965776865160827,1822.751540041067,,,,1.7722839765103258,1.4824999999999993,1.8584742268041228,7.49052631578947,29076.12903225805,5.463218369358576,0.8866155828570862,4.979339299524912,,,90.13599999999995,100.15111111111106,2.003022222222221,33.80099999999998,2704.0799999999986,,,,
Dimensionless SU slope,0.4999999999999997,,,,0.4999999999999997,,,0.4999999999999997,,0.4999999999999997,,,0.4999999999999997,0.4999999999999997,,,0.4999999999999997,0.4999999999999997,0.4999999999999997,0.4999999999999997,,,,0.4999999999999997,0.4999999999999997,0.4999999999999997,0.4999999999999997,0.4999999999999997,0.4999999999999997,0.4999999999999997,0.4999999999999997,,,0.4999999999999997,0.4999999999999997,0.4999999999999997,0.4999999999999997,0.4999999999999997,,,,
